Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
VER,25.0,0 days 00:01:30.845000,3.0,0 days 01:55:41.429000,0 days 00:00:32.279000,0 days 00:00:18.911000,0 days 00:00:39.655000
VER,26.0,0 days 00:01:30.293000,3.0,0 days 01:57:11.722000,0 days 00:00:32.159000,0 days 00:00:18.938000,0 days 00:00:39.196000
VER,27.0,0 days 00:01:29.731000,3.0,0 days 01:58:41.453000,0 days 00:00:31.904000,0 days 00:00:18.868000,0 days 00:00:38.959000
VER,28.0,0 days 00:01:29.411000,3.0,0 days 02:00:10.864000,0 days 00:00:31.769000,0 days 00:00:18.848000,0 days 00:00:38.794000
VER,29.0,0 days 00:01:29.043000,3.0,0 days 02:01:39.907000,0 days 00:00:31.543000,0 days 00:00:18.815000,0 days 00:00:38.685000
VER,30.0,0 days 00:01:28.237000,3.0,0 days 02:03:08.144000,0 days 00:00:31.103000,0 days 00:00:18.635000,0 days 00:00:38.499000
VER,31.0,0 days 00:01:28.127000,3.0,0 days 02:04:36.271000,0 days 00:00:31.123000,0 days 00:00:18.741000,0 days 00:00:38.263000
VER,32.0,0 days 00:01:28.208000,3.0,0 days 02:06:04.479000,0 days 00:00:30.905000,0 days 00:00:18.890000,0 days 00:00:38.413000
VER,33.0,0 days 00:01:28.046000,3.0,0 days 02:07:32.525000,0 days 00:00:30.905000,0 days 00:00:18.810000,0 days 00:00:38.331000
VER,34.0,0 days 00:02:08.598000,3.0,0 days 02:09:41.123000,0 days 00:00:38.569000,0 days 00:00:29.499000,0 days 00:01:00.530000
VER,35.0,0 days 00:02:04.508000,3.0,0 days 02:11:45.631000,0 days 00:00:46.794000,0 days 00:00:27.330000,0 days 00:00:50.384000
VER,36.0,0 days 00:01:56.334000,3.0,0 days 02:13:41.965000,0 days 00:00:33.284000,0 days 00:00:30.201000,0 days 00:00:52.849000
VER,37.0,,3.0,0 days 02:16:24.799000,0 days 00:00:46.632000,0 days 00:00:40.725000,0 days 00:01:15.519000
VER,38.0,0 days 00:02:17.910000,3.0,0 days 02:18:42.709000,0 days 00:00:40.652000,0 days 00:00:41.364000,0 days 00:00:55.894000
VER,39.0,0 days 00:02:12.714000,3.0,0 days 02:20:55.423000,0 days 00:00:42.699000,0 days 00:00:36.267000,0 days 00:00:53.748000
VER,40.0,0 days 00:02:11.498000,3.0,0 days 02:23:06.921000,0 days 00:00:43.488000,0 days 00:00:33.721000,0 days 00:00:54.289000
VER,41.0,0 days 00:02:12.004000,3.0,0 days 02:25:18.925000,0 days 00:00:44.791000,0 days 00:00:29.249000,0 days 00:00:57.964000
VER,42.0,0 days 00:01:25.317000,3.0,0 days 02:26:44.242000,0 days 00:00:30.288000,0 days 00:00:18.886000,0 days 00:00:36.143000
VER,43.0,0 days 00:01:23.081000,3.0,0 days 02:28:07.323000,0 days 00:00:28.878000,0 days 00:00:18.569000,0 days 00:00:35.634000
VER,44.0,0 days 00:01:26.789000,1.0,0 days 02:29:34.112000,0 days 00:00:28.766000,0 days 00:00:18.154000,0 days 00:00:39.869000
VER,45.0,0 days 00:01:32.874000,1.0,0 days 02:31:06.986000,0 days 00:00:29.993000,0 days 00:00:18.865000,0 days 00:00:44.016000
VER,46.0,0 days 00:01:52.606000,5.0,0 days 02:32:59.592000,0 days 00:00:31.037000,0 days 00:00:19.186000,0 days 00:01:02.383000
VER,47.0,0 days 00:02:07.213000,2.0,0 days 02:35:06.805000,0 days 00:00:40.700000,0 days 00:00:31.560000,0 days 00:00:54.953000
VER,48.0,0 days 00:02:02.406000,2.0,0 days 02:37:09.211000,0 days 00:00:38.909000,0 days 00:00:23.850000,0 days 00:00:59.647000
VER,49.0,0 days 00:02:24.892000,2.0,0 days 02:39:34.103000,0 days 00:00:51.981000,0 days 00:00:32.432000,0 days 00:01:00.479000
VER,50.0,0 days 00:02:22.085000,2.0,0 days 02:41:56.188000,0 days 00:00:52.682000,0 days 00:00:32.177000,0 days 00:00:57.226000
VER,51.0,0 days 00:02:13.879000,2.0,0 days 02:44:10.067000,0 days 00:00:47.272000,0 days 00:00:29.576000,0 days 00:00:57.031000
VER,52.0,0 days 00:01:33.864000,2.0,0 days 02:45:43.931000,0 days 00:00:34.079000,0 days 00:00:19.408000,0 days 00:00:40.377000
VER,53.0,0 days 00:01:30.859000,2.0,0 days 02:47:14.790000,0 days 00:00:32.113000,0 days 00:00:19.031000,0 days 00:00:39.715000
VER,54.0,0 days 00:01:29.100000,2.0,0 days 02:48:43.890000,0 days 00:00:31.437000,0 days 00:00:18.688000,0 days 00:00:38.975000
VER,55.0,0 days 00:01:28.538000,2.0,0 days 02:50:12.428000,0 days 00:00:30.812000,0 days 00:00:18.798000,0 days 00:00:38.928000
VER,56.0,0 days 00:01:27.921000,2.0,0 days 02:51:40.349000,0 days 00:00:30.695000,0 days 00:00:18.320000,0 days 00:00:38.906000
VER,57.0,0 days 00:01:27.400000,2.0,0 days 02:53:07.749000,0 days 00:00:30.421000,0 days 00:00:18.285000,0 days 00:00:38.694000
GAS,1.0,0 days 00:02:14.132000,12.0,0 days 01:13:14.728000,,0 days 00:00:21.554000,0 days 00:01:05.755000
GAS,2.0,,9.0,0 days 01:16:06.103000,0 days 00:00:55.855000,0 days 00:00:35.135000,0 days 00:01:20.320000
GAS,3.0,,9.0,0 days 01:18:49.068000,0 days 00:00:50.510000,0 days 00:00:36.049000,0 days 00:01:16.333000
GAS,4.0,,9.0,0 days 01:21:23.515000,0 days 00:00:50.360000,0 days 00:00:32.205000,0 days 00:01:12.024000
GAS,5.0,0 days 00:02:21.360000,9.0,0 days 01:23:44.875000,0 days 00:00:51.180000,0 days 00:00:30.446000,0 days 00:00:59.734000
GAS,6.0,0 days 00:02:19.952000,9.0,0 days 01:26:04.827000,0 days 00:00:43.258000,0 days 00:00:34.952000,0 days 00:01:01.742000
GAS,7.0,0 days 00:02:06.733000,9.0,0 days 01:28:11.560000,0 days 00:00:42.713000,0 days 00:00:29.764000,0 days 00:00:54.256000
GAS,8.0,0 days 00:01:38.441000,9.0,0 days 01:29:50.001000,0 days 00:00:35.761000,0 days 00:00:20.439000,0 days 00:00:42.241000
GAS,9.0,0 days 00:01:36.062000,9.0,0 days 01:31:26.063000,0 days 00:00:34.775000,0 days 00:00:19.939000,0 days 00:00:41.348000
GAS,10.0,0 days 00:01:35.527000,9.0,0 days 01:33:01.590000,0 days 00:00:34.369000,0 days 00:00:19.784000,0 days 00:00:41.374000
GAS,11.0,0 days 00:01:34.702000,9.0,0 days 01:34:36.292000,0 days 00:00:33.715000,0 days 00:00:19.771000,0 days 00:00:41.216000
GAS,12.0,0 days 00:01:34.227000,9.0,0 days 01:36:10.519000,0 days 00:00:33.480000,0 days 00:00:19.640000,0 days 00:00:41.107000
GAS,13.0,0 days 00:01:33.275000,9.0,0 days 01:37:43.794000,0 days 00:00:33.245000,0 days 00:00:19.662000,0 days 00:00:40.368000
GAS,14.0,0 days 00:01:32.859000,9.0,0 days 01:39:16.653000,0 days 00:00:32.923000,0 days 00:00:19.508000,0 days 00:00:40.428000
GAS,15.0,0 days 00:01:32.744000,9.0,0 days 01:40:49.397000,0 days 00:00:33.106000,0 days 00:00:19.515000,0 days 00:00:40.123000
GAS,16.0,0 days 00:01:32.445000,9.0,0 days 01:42:21.842000,0 days 00:00:32.952000,0 days 00:00:19.527000,0 days 00:00:39.966000
GAS,17.0,0 days 00:01:32.795000,9.0,0 days 01:43:54.637000,0 days 00:00:32.773000,0 days 00:00:19.338000,0 days 00:00:40.684000
GAS,18.0,0 days 00:01:33.124000,9.0,0 days 01:45:27.761000,0 days 00:00:32.863000,0 days 00:00:19.329000,0 days 00:00:40.932000
GAS,19.0,0 days 00:01:32.462000,9.0,0 days 01:47:00.223000,0 days 00:00:32.918000,0 days 00:00:19.141000,0 days 00:00:40.403000
GAS,20.0,0 days 00:01:32.327000,9.0,0 days 01:48:32.550000,0 days 00:00:32.703000,0 days 00:00:19.090000,0 days 00:00:40.534000
GAS,21.0,0 days 00:01:32.323000,9.0,0 days 01:50:04.873000,0 days 00:00:32.860000,0 days 00:00:19.181000,0 days 00:00:40.282000
GAS,22.0,0 days 00:01:32.355000,9.0,0 days 01:51:37.228000,0 days 00:00:32.630000,0 days 00:00:19.183000,0 days 00:00:40.542000
GAS,23.0,0 days 00:01:32.438000,9.0,0 days 01:53:09.666000,0 days 00:00:32.769000,0 days 00:00:19.180000,0 days 00:00:40.489000
GAS,24.0,0 days 00:01:32.035000,9.0,0 days 01:54:41.701000,0 days 00:00:32.624000,0 days 00:00:19.219000,0 days 00:00:40.192000
GAS,25.0,0 days 00:01:31.622000,9.0,0 days 01:56:13.323000,0 days 00:00:32.743000,0 days 00:00:19.120000,0 days 00:00:39.759000
GAS,26.0,0 days 00:01:30.928000,9.0,0 days 01:57:44.251000,0 days 00:00:32.305000,0 days 00:00:19.052000,0 days 00:00:39.571000
GAS,27.0,0 days 00:01:30.635000,9.0,0 days 01:59:14.886000,0 days 00:00:32.169000,0 days 00:00:19.002000,0 days 00:00:39.464000
GAS,28.0,0 days 00:01:30.382000,9.0,0 days 02:00:45.268000,0 days 00:00:32.019000,0 days 00:00:18.955000,0 days 00:00:39.408000
GAS,29.0,0 days 00:01:30.051000,9.0,0 days 02:02:15.319000,0 days 00:00:31.855000,0 days 00:00:18.938000,0 days 00:00:39.258000
GAS,30.0,0 days 00:01:30.124000,9.0,0 days 02:03:45.443000,0 days 00:00:31.654000,0 days 00:00:18.998000,0 days 00:00:39.472000
GAS,31.0,0 days 00:01:29.299000,9.0,0 days 02:05:14.742000,0 days 00:00:31.513000,0 days 00:00:18.869000,0 days 00:00:38.917000
GAS,32.0,0 days 00:01:29.383000,9.0,0 days 02:06:44.125000,0 days 00:00:31.618000,0 days 00:00:18.850000,0 days 00:00:38.915000
GAS,33.0,0 days 00:01:51.300000,9.0,0 days 02:08:35.425000,0 days 00:00:31.296000,0 days 00:00:18.975000,0 days 00:01:01.029000
GAS,34.0,0 days 00:02:25.049000,9.0,0 days 02:11:00.474000,0 days 00:00:53.338000,0 days 00:00:42.356000,0 days 00:00:49.355000
GAS,35.0,0 days 00:01:45.531000,9.0,0 days 02:12:46.005000,0 days 00:00:35.632000,0 days 00:00:28.822000,0 days 00:00:41.077000
GAS,36.0,0 days 00:01:41.620000,9.0,0 days 02:14:27.625000,0 days 00:00:32.286000,0 days 00:00:29.596000,0 days 00:00:39.738000
GAS,37.0,0 days 00:02:07.218000,9.0,0 days 02:16:34.843000,0 days 00:00:31.629000,0 days 00:00:29.727000,0 days 00:01:05.862000
GAS,38.0,0 days 00:02:19.376000,9.0,0 days 02:18:54.219000,0 days 00:00:38.274000,0 days 00:00:39.552000,0 days 00:01:01.550000
GAS,39.0,0 days 00:02:11.226000,9.0,0 days 02:21:05.445000,0 days 00:00:38.456000,0 days 00:00:36.070000,0 days 00:00:56.700000
GAS,40.0,0 days 00:02:10.476000,9.0,0 days 02:23:15.921000,0 days 00:00:40.824000,0 days 00:00:35.543000,0 days 00:00:54.109000
GAS,41.0,0 days 00:02:06.368000,9.0,0 days 02:25:22.289000,0 days 00:00:43.945000,0 days 00:00:29.012000,0 days 00:00:53.411000
GAS,42.0,0 days 00:01:27.942000,9.0,0 days 02:26:50.231000,0 days 00:00:31.318000,0 days 00:00:18.881000,0 days 00:00:37.743000
GAS,43.0,0 days 00:01:25.020000,9.0,0 days 02:28:15.251000,0 days 00:00:29.787000,0 days 00:00:18.627000,0 days 00:00:36.606000
GAS,44.0,0 days 00:01:28.332000,4.0,0 days 02:29:43.583000,0 days 00:00:29.467000,0 days 00:00:18.594000,0 days 00:00:40.271000
GAS,45.0,0 days 00:01:32.969000,4.0,0 days 02:31:16.552000,0 days 00:00:30.352000,0 days 00:00:18.899000,0 days 00:00:43.718000
GAS,46.0,0 days 00:01:56.069000,11.0,0 days 02:33:12.621000,0 days 00:00:33.157000,0 days 00:00:18.982000,0 days 00:01:03.930000
GAS,47.0,0 days 00:02:06.740000,8.0,0 days 02:35:19.361000,0 days 00:00:45.479000,0 days 00:00:24.021000,0 days 00:00:57.240000
GAS,48.0,0 days 00:02:01.785000,8.0,0 days 02:37:21.146000,0 days 00:00:41.932000,0 days 00:00:22.835000,0 days 00:00:57.018000
GAS,49.0,0 days 00:02:24.669000,8.0,0 days 02:39:45.815000,0 days 00:00:48.264000,0 days 00:00:32.422000,0 days 00:01:03.983000
GAS,50.0,0 days 00:02:17.754000,8.0,0 days 02:42:03.569000,0 days 00:00:49.575000,0 days 00:00:30.790000,0 days 00:00:57.389000
GAS,51.0,0 days 00:02:11.745000,8.0,0 days 02:44:15.314000,0 days 00:00:46.466000,0 days 00:00:28.377000,0 days 00:00:56.902000
GAS,52.0,0 days 00:01:36.326000,8.0,0 days 02:45:51.640000,0 days 00:00:35.475000,0 days 00:00:19.500000,0 days 00:00:41.351000
GAS,53.0,0 days 00:01:32.297000,8.0,0 days 02:47:23.937000,0 days 00:00:32.856000,0 days 00:00:19.045000,0 days 00:00:40.396000
GAS,54.0,0 days 00:01:34.967000,10.0,0 days 02:48:58.904000,0 days 00:00:35.345000,0 days 00:00:19.237000,0 days 00:00:40.385000
GAS,55.0,0 days 00:01:32.316000,11.0,0 days 02:50:31.220000,0 days 00:00:33.195000,0 days 00:00:19.199000,0 days 00:00:39.922000
GAS,56.0,0 days 00:01:30.866000,11.0,0 days 02:52:02.086000,0 days 00:00:31.867000,0 days 00:00:19.159000,0 days 00:00:39.840000
GAS,57.0,0 days 00:01:31.312000,11.0,0 days 02:53:33.398000,0 days 00:00:31.774000,0 days 00:00:19.075000,0 days 00:00:40.463000
ANT,1.0,0 days 00:02:22.352000,16.0,0 days 01:13:22.976000,,0 days 00:00:22.829000,0 days 00:01:09.366000
ANT,2.0,,13.0,0 days 01:16:12.898000,0 days 00:00:55.459000,0 days 00:00:32.481000,0 days 00:01:21.860000
ANT,3.0,,13.0,0 days 01:18:57.575000,0 days 00:00:51.498000,0 days 00:00:33.080000,0 days 00:01:20.177000
ANT,4.0,,13.0,0 days 01:21:32.097000,0 days 00:00:49.814000,0 days 00:00:32.851000,0 days 00:01:11.933000
ANT,5.0,0 days 00:02:19.163000,13.0,0 days 01:23:51.260000,0 days 00:00:49.979000,0 days 00:00:30.052000,0 days 00:00:59.132000
ANT,6.0,0 days 00:02:21.111000,13.0,0 days 01:26:12.371000,0 days 00:00:42.289000,0 days 00:00:35.787000,0 days 00:01:03.035000
ANT,7.0,0 days 00:02:03.412000,13.0,0 days 01:28:15.783000,0 days 00:00:41.182000,0 days 00:00:30.645000,0 days 00:00:51.585000
ANT,8.0,0 days 00:01:38.729000,13.0,0 days 01:29:54.512000,0 days 00:00:35.912000,0 days 00:00:20.482000,0 days 00:00:42.335000
ANT,9.0,0 days 00:01:36.312000,13.0,0 days 01:31:30.824000,0 days 00:00:34.903000,0 days 00:00:19.945000,0 days 00:00:41.464000
ANT,10.0,0 days 00:01:35.270000,13.0,0 days 01:33:06.094000,0 days 00:00:34.187000,0 days 00:00:19.577000,0 days 00:00:41.506000
ANT,11.0,0 days 00:01:34.678000,13.0,0 days 01:34:40.772000,0 days 00:00:33.964000,0 days 00:00:19.627000,0 days 00:00:41.087000
ANT,12.0,0 days 00:01:35.385000,13.0,0 days 01:36:16.157000,0 days 00:00:34.180000,0 days 00:00:19.476000,0 days 00:00:41.729000
ANT,13.0,0 days 00:01:33.697000,13.0,0 days 01:37:49.854000,0 days 00:00:33.611000,0 days 00:00:19.396000,0 days 00:00:40.690000
ANT,14.0,0 days 00:01:33.802000,12.0,0 days 01:39:23.656000,0 days 00:00:33.699000,0 days 00:00:19.470000,0 days 00:00:40.633000
ANT,15.0,0 days 00:01:32.212000,12.0,0 days 01:40:55.868000,0 days 00:00:33.126000,0 days 00:00:19.420000,0 days 00:00:39.666000
ANT,16.0,0 days 00:01:37.326000,13.0,0 days 01:42:33.194000,0 days 00:00:37.533000,0 days 00:00:19.464000,0 days 00:00:40.329000
ANT,17.0,0 days 00:01:32.312000,12.0,0 days 01:44:05.506000,0 days 00:00:33.045000,0 days 00:00:19.059000,0 days 00:00:40.208000
ANT,18.0,0 days 00:01:32.181000,12.0,0 days 01:45:37.687000,0 days 00:00:32.902000,0 days 00:00:19.203000,0 days 00:00:40.076000
ANT,19.0,0 days 00:01:31.942000,12.0,0 days 01:47:09.629000,0 days 00:00:32.822000,0 days 00:00:19.108000,0 days 00:00:40.012000
ANT,20.0,0 days 00:01:31.319000,12.0,0 days 01:48:40.948000,0 days 00:00:32.598000,0 days 00:00:19.093000,0 days 00:00:39.628000
ANT,21.0,0 days 00:01:31.042000,12.0,0 days 01:50:11.990000,0 days 00:00:32.385000,0 days 00:00:18.992000,0 days 00:00:39.665000
ANT,22.0,0 days 00:01:31.887000,11.0,0 days 01:51:43.877000,0 days 00:00:32.452000,0 days 00:00:18.953000,0 days 00:00:40.482000
ANT,23.0,0 days 00:01:31.324000,11.0,0 days 01:53:15.201000,0 days 00:00:32.454000,0 days 00:00:19.041000,0 days 00:00:39.829000
ANT,24.0,0 days 00:01:30.822000,11.0,0 days 01:54:46.023000,0 days 00:00:32.330000,0 days 00:00:18.978000,0 days 00:00:39.514000
ANT,25.0,0 days 00:01:30.706000,11.0,0 days 01:56:16.729000,0 days 00:00:32.088000,0 days 00:00:19.045000,0 days 00:00:39.573000
ANT,26.0,0 days 00:01:31.299000,11.0,0 days 01:57:48.028000,0 days 00:00:32.940000,0 days 00:00:18.942000,0 days 00:00:39.417000
ANT,27.0,0 days 00:01:30.463000,11.0,0 days 01:59:18.491000,0 days 00:00:32.082000,0 days 00:00:18.871000,0 days 00:00:39.510000
ANT,28.0,0 days 00:01:30.716000,11.0,0 days 02:00:49.207000,0 days 00:00:32.111000,0 days 00:00:18.504000,0 days 00:00:40.101000
ANT,29.0,0 days 00:01:29.919000,11.0,0 days 02:02:19.126000,0 days 00:00:31.785000,0 days 00:00:18.794000,0 days 00:00:39.340000
ANT,30.0,0 days 00:01:29.794000,11.0,0 days 02:03:48.920000,0 days 00:00:31.823000,0 days 00:00:18.759000,0 days 00:00:39.212000
ANT,31.0,0 days 00:01:29.245000,11.0,0 days 02:05:18.165000,0 days 00:00:31.583000,0 days 00:00:18.748000,0 days 00:00:38.914000
ANT,32.0,0 days 00:01:29.032000,11.0,0 days 02:06:47.197000,0 days 00:00:31.369000,0 days 00:00:18.773000,0 days 00:00:38.890000
ANT,33.0,0 days 00:01:52.635000,10.0,0 days 02:08:39.832000,0 days 00:00:31.156000,0 days 00:00:19.488000,0 days 00:01:01.991000
ANT,34.0,0 days 00:02:22.596000,10.0,0 days 02:11:02.428000,0 days 00:00:50.260000,0 days 00:00:41.918000,0 days 00:00:50.418000
ANT,35.0,0 days 00:01:44.670000,10.0,0 days 02:12:47.098000,0 days 00:00:35.474000,0 days 00:00:28.102000,0 days 00:00:41.094000
ANT,36.0,0 days 00:01:41.655000,10.0,0 days 02:14:28.753000,0 days 00:00:32.604000,0 days 00:00:29.457000,0 days 00:00:39.594000
ANT,37.0,0 days 00:02:07.298000,10.0,0 days 02:16:36.051000,0 days 00:00:31.948000,0 days 00:00:30.640000,0 days 00:01:04.710000
ANT,38.0,0 days 00:02:19.681000,10.0,0 days 02:18:55.732000,0 days 00:00:38.143000,0 days 00:00:39.653000,0 days 00:01:01.885000
ANT,39.0,0 days 00:02:11.642000,10.0,0 days 02:21:07.374000,0 days 00:00:38.950000,0 days 00:00:35.025000,0 days 00:00:57.667000
ANT,40.0,0 days 00:02:09.615000,10.0,0 days 02:23:16.989000,0 days 00:00:39.633000,0 days 00:00:35.891000,0 days 00:00:54.091000
ANT,41.0,0 days 00:02:06.220000,10.0,0 days 02:25:23.209000,0 days 00:00:44.333000,0 days 00:00:28.681000,0 days 00:00:53.206000
ANT,42.0,0 days 00:01:27.505000,10.0,0 days 02:26:50.714000,0 days 00:00:30.908000,0 days 00:00:19.021000,0 days 00:00:37.576000
ANT,43.0,0 days 00:01:24.901000,10.0,0 days 02:28:15.615000,0 days 00:00:29.606000,0 days 00:00:18.461000,0 days 00:00:36.834000
ANT,44.0,0 days 00:01:48.276000,11.0,0 days 02:30:03.891000,0 days 00:00:29.991000,0 days 00:00:18.732000,0 days 00:00:59.553000
ANT,45.0,0 days 00:01:35.593000,11.0,0 days 02:31:39.484000,0 days 00:00:37.157000,0 days 00:00:19.091000,0 days 00:00:39.345000
ANT,46.0,0 days 00:01:30.780000,8.0,0 days 02:33:10.264000,0 days 00:00:31.827000,0 days 00:00:18.635000,0 days 00:00:40.318000
ANT,47.0,0 days 00:02:05.750000,5.0,0 days 02:35:16.014000,0 days 00:00:34.497000,0 days 00:00:33.267000,0 days 00:00:57.986000
ANT,48.0,0 days 00:01:58.429000,5.0,0 days 02:37:14.443000,0 days 00:00:40.189000,0 days 00:00:21.083000,0 days 00:00:57.157000
ANT,49.0,0 days 00:02:24.964000,5.0,0 days 02:39:39.407000,0 days 00:00:51.540000,0 days 00:00:31.716000,0 days 00:01:01.708000
ANT,50.0,0 days 00:02:20.284000,5.0,0 days 02:41:59.691000,0 days 00:00:51.512000,0 days 00:00:30.864000,0 days 00:00:57.908000
ANT,51.0,0 days 00:02:12.971000,5.0,0 days 02:44:12.662000,0 days 00:00:46.897000,0 days 00:00:29.666000,0 days 00:00:56.408000
ANT,52.0,0 days 00:01:35.008000,5.0,0 days 02:45:47.670000,0 days 00:00:34.277000,0 days 00:00:19.530000,0 days 00:00:41.201000
ANT,53.0,0 days 00:01:31.398000,5.0,0 days 02:47:19.068000,0 days 00:00:32.679000,0 days 00:00:19.001000,0 days 00:00:39.718000
ANT,54.0,0 days 00:01:30.562000,5.0,0 days 02:48:49.630000,0 days 00:00:32.258000,0 days 00:00:18.783000,0 days 00:00:39.521000
ANT,55.0,0 days 00:01:30.602000,5.0,0 days 02:50:20.232000,0 days 00:00:31.970000,0 days 00:00:18.490000,0 days 00:00:40.142000
ANT,56.0,0 days 00:01:28.149000,4.0,0 days 02:51:48.381000,0 days 00:00:31.023000,0 days 00:00:18.341000,0 days 00:00:38.785000
ANT,57.0,0 days 00:01:28.650000,4.0,0 days 02:53:17.031000,0 days 00:00:31.048000,0 days 00:00:18.709000,0 days 00:00:38.893000
ALO,1.0,0 days 00:02:17.178000,13.0,0 days 01:13:17.788000,,0 days 00:00:22.171000,0 days 00:01:07.034000
ALO,2.0,,10.0,0 days 01:16:07.295000,0 days 00:00:55.076000,0 days 00:00:34.640000,0 days 00:01:19.692000
ALO,3.0,,10.0,0 days 01:18:50.610000,0 days 00:00:52.882000,0 days 00:00:33.441000,0 days 00:01:17.022000
ALO,4.0,,10.0,0 days 01:21:25.229000,0 days 00:00:52.331000,0 days 00:00:32.068000,0 days 00:01:10.307000
ALO,5.0,0 days 00:02:22.181000,10.0,0 days 01:23:47.410000,0 days 00:00:52.318000,0 days 00:00:29.721000,0 days 00:01:00.142000
ALO,6.0,0 days 00:02:19.493000,10.0,0 days 01:26:06.903000,0 days 00:00:42.673000,0 days 00:00:35.332000,0 days 00:01:01.488000
ALO,7.0,0 days 00:02:05.594000,10.0,0 days 01:28:12.497000,0 days 00:00:42.237000,0 days 00:00:31.103000,0 days 00:00:52.254000
ALO,8.0,0 days 00:01:38.354000,10.0,0 days 01:29:50.851000,0 days 00:00:35.634000,0 days 00:00:20.573000,0 days 00:00:42.147000
ALO,9.0,0 days 00:01:36.267000,10.0,0 days 01:31:27.118000,0 days 00:00:34.756000,0 days 00:00:20.098000,0 days 00:00:41.413000
ALO,10.0,0 days 00:01:35.569000,10.0,0 days 01:33:02.687000,0 days 00:00:34.310000,0 days 00:00:19.907000,0 days 00:00:41.352000
ALO,11.0,0 days 00:01:35.300000,10.0,0 days 01:34:37.987000,0 days 00:00:34.107000,0 days 00:00:19.760000,0 days 00:00:41.433000
ALO,12.0,0 days 00:01:34.076000,10.0,0 days 01:36:12.063000,0 days 00:00:33.625000,0 days 00:00:19.675000,0 days 00:00:40.776000
ALO,13.0,0 days 00:01:33.515000,10.0,0 days 01:37:45.578000,0 days 00:00:33.419000,0 days 00:00:19.468000,0 days 00:00:40.628000
